SRR6903897	Texanus_22_23.2009.644
SRR6903896	Texanus_22_23.2009.646
SRR6903895	Texanus_22_23.2009.648
SRR6903894	Texanus_22_23.2009.650
SRR6974477	Texanus_22_23.2009.650
SRR6903893	Texanus_22_23.2009.652
SRR6903892	Texanus_22_23.2009.654
SRR6903891	Texanus_22_23.2009.656
SRR6903890	Texanus_22_23.2009.658
SRR6903889	Texanus_22_23.2009.660
SRR6974476	Texanus_22_23.2009.660
SRR6903684	Texanus_22_23.2009.802
SRR6903691	Texanus_22_23.2009.806
SRR6903690	Texanus_22_23.2009.808
SRR6903917	Texanus_22_23.2009.810
SRR6974480	Texanus_22_23.2009.810
SRR6903918	Texanus_22_23.2009.812
SRR6903915	Texanus_22_23.2009.814
SRR6903916	Texanus_22_23.2009.816
SRR6903913	Texanus_22_23.2009.818
SRR6903914	Texanus_22_23.2009.820
SRR6974483	Texanus_22_23.2009.820
SRR6903912	Texanus_22_23.2009.824
SRR6903919	Texanus_22_23.2009.826
SRR6903920	Texanus_22_23.2009.828
SRR6903538	Texanus_22_23.2009.830
SRR6974482	Texanus_22_23.2009.830
SRR6903537	Texanus_22_23.2009.832
SRR6903536	Texanus_22_23.2009.834
SRR6903588	Texanus_22_23.2009.836
SRR6903542	Texanus_22_23.2009.840
SRR6974458	Texanus_22_23.2009.840
SRR6903541	Texanus_22_23.2009.842
SRR6903540	Texanus_22_23.2009.844
SRR6903539	Texanus_22_23.2009.846
SRR6903745	Texanus_22_23.2009.848
SRR6903742	Texanus_22_23.2009.850
SRR6974459	Texanus_22_23.2009.850
SRR6903602	Texanus_22_23.2009.852
SRR6903603	Texanus_22_23.2009.854
SRR6903604	Texanus_22_23.2009.856
SRR6903605	Texanus_22_23.2009.858
SRR6903598	Texanus_22_23.2009.860
SRR6974460	Texanus_22_23.2009.860
SRR6903599	Texanus_22_23.2009.862
SRR6903600	Texanus_22_23.2009.864
SRR6903601	Texanus_22_23.2009.866
SRR6903543	Texanus_22_23.2009.868
SRR6903546	Texanus_22_23.2009.870
SRR6974461	Texanus_22_23.2009.870
SRR6903517	Texanus_22_23.2009.872
SRR6903516	Texanus_22_23.2009.876
SRR6903519	Texanus_22_23.2009.878
SRR6903518	Texanus_22_23.2009.880
SRR6974454	Texanus_22_23.2009.880
SRR6903522	Texanus_22_23.2009.882
SRR6903520	Texanus_22_23.2009.884
SRR6903524	Texanus_22_23.2009.886
SRR6903523	Texanus_22_23.2009.888
SRR6903526	Texanus_22_23.2009.890
SRR6974455	Texanus_22_23.2009.890
SRR6903525	Texanus_22_23.2009.892
SRR6903756	Texanus_22_23.2009.894
SRR6903757	Texanus_22_23.2009.896
SRR6903747	Texanus_24_25.2006.022
SRR6903752	Texanus_24_25.2006.026
SRR6903753	Texanus_24_25.2006.030
SRR6974509	Texanus_24_25.2006.030
SRR6903750	Texanus_24_25.2006.034
SRR6903751	Texanus_24_25.2006.038
SRR6903743	Texanus_24_25.2006.042
SRR6903744	Texanus_24_25.2006.046
SRR6903615	Texanus_24_25.2006.050
SRR6974508	Texanus_24_25.2006.050
SRR6903614	Texanus_24_25.2006.054
SRR6903613	Texanus_24_25.2006.058
SRR6903856	Texanus_24_25.2006.062
SRR6903611	Texanus_24_25.2006.066
SRR6903610	Texanus_24_25.2006.070
SRR6974507	Texanus_24_25.2006.070
SRR6903609	Texanus_24_25.2006.074
SRR6903608	Texanus_24_25.2006.078
SRR6903607	Texanus_24_25.2006.082
SRR6903606	Texanus_24_25.2006.086
SRR6903547	Texanus_24_25.2006.090
SRR6974516	Texanus_24_25.2006.090
SRR6903548	Texanus_24_25.2006.094
SRR6903549	Texanus_24_25.2006.098
SRR6903550	Texanus_24_25.2006.102
SRR6903551	Texanus_24_25.2006.106
SRR6903552	Texanus_24_25.2006.110
SRR6974515	Texanus_24_25.2006.110
SRR6903553	Texanus_24_25.2006.114
SRR6903657	Texanus_24_25.2009.005
SRR6903730	Texanus_24_25.2009.023
SRR6903830	Texanus_24_25.2009.027
SRR6903827	Texanus_24_25.2009.028
SRR6903638	Texanus_24_25.2009.662
SRR6903639	Texanus_24_25.2009.666
SRR6903640	Texanus_24_25.2009.668
SRR6903641	Texanus_24_25.2009.670
SRR6974479	Texanus_24_25.2009.670
SRR6903642	Texanus_24_25.2009.672
SRR6903643	Texanus_24_25.2009.674
SRR6903644	Texanus_24_25.2009.676
SRR6903645	Texanus_24_25.2009.678
SRR6903646	Texanus_24_25.2009.680
SRR6974478	Texanus_24_25.2009.680
SRR6903647	Texanus_24_25.2009.682
SRR6903687	Texanus_24_25.2009.684
SRR6903686	Texanus_24_25.2009.686
SRR6903689	Texanus_24_25.2009.690
SRR6974481	Texanus_24_25.2009.690
SRR6903688	Texanus_24_25.2009.692
SRR6903683	Texanus_24_25.2009.694
SRR6903682	Texanus_24_25.2009.696
SRR6903685	Texanus_24_25.2009.698
SRR6903911	Texanus_24_25.2009.822
SRR6903754	Texanus_24_25.2010.006
SRR6903755	Texanus_24_25.2010.010
SRR6974456	Texanus_24_25.2010.010
SRR6903760	Texanus_24_25.2010.014
SRR6903761	Texanus_24_25.2010.018
SRR6903758	Texanus_24_25.2010.022
SRR6903759	Texanus_24_25.2010.026
SRR6903762	Texanus_24_25.2010.030
SRR6974457	Texanus_24_25.2010.030
SRR6903587	Texanus_24_25.2010.034
SRR6903506	Texanus_24_25.2010.038
SRR6903521	Texanus_24_25.2010.042
SRR6903504	Texanus_24_25.2010.046
SRR6903505	Texanus_24_25.2010.050
SRR6974462	Texanus_24_25.2010.050
SRR6903500	Texanus_24_25.2010.054
SRR6903501	Texanus_24_25.2010.058
SRR6903498	Texanus_24_25.2010.062
SRR6903499	Texanus_24_25.2010.066
SRR6903508	Texanus_24_25.2010.070
SRR6974463	Texanus_24_25.2010.070
SRR6903509	Texanus_24_25.2010.074
SRR6903904	Texanus_24_25.2010.078
SRR6903903	Texanus_24_25.2010.082
SRR6903906	Texanus_24_25.2010.086
SRR6903905	Texanus_24_25.2010.090
SRR6974439	Texanus_24_25.2010.090
SRR6903900	Texanus_24_25.2010.098
SRR6903899	Texanus_24_25.2010.208
SRR6903902	Texanus_24_25.2010.216
SRR6903901	Texanus_24_25.2010.220
SRR6974438	Texanus_24_25.2010.220
SRR6903909	Texanus_24_25.2010.224
SRR6903908	Texanus_24_25.2010.228
SRR6903794	Texanus_24_25.2010.236
SRR6903795	Texanus_24_25.2010.248
SRR6903796	Texanus_24_25.2010.252
SRR6903797	Texanus_24_25.2010.260
SRR6974437	Texanus_24_25.2010.260
SRR6903790	Texanus_24_25.2010.264
SRR6903791	Texanus_24_25.2010.268
SRR6903792	Texanus_24_25.2010.272
SRR6903793	Texanus_24_25.2010.276
SRR6903788	Texanus_24_25.2010.288
SRR6903789	Texanus_24_25.2010.292
SRR6903735	Texanus_24_25.2010.296
SRR6903733	Texanus_24_25.2010.602
SRR6903732	Texanus_24_25.2010.604
SRR6903731	Texanus_24_25.2010.606
SRR6903739	Texanus_24_25.2010.608
SRR6903738	Texanus_24_25.2010.610
SRR6974436	Texanus_24_25.2010.610
SRR6903737	Texanus_24_25.2010.612
SRR6903736	Texanus_24_25.2010.614
SRR6905072	Texanus_24_25.2010.616
SRR6905216	Texanus_24_25.2010.618
SRR6976942	Texanus_24_25.2010.620
SRR6904954	Texanus_24_25.2010.622
SRR6904955	Texanus_24_25.2010.624
SRR6905091	Texanus_24_25.2010.626
SRR6905208	Texanus_24_25.2010.628
SRR6976943	Texanus_24_25.2010.630
SRR6905209	Texanus_24_25.2010.632
SRR6905170	Texanus_24_25.2010.634
SRR6905171	Texanus_24_25.2010.636
SRR6905172	Texanus_24_25.2010.638
SRR6976940	Texanus_24_25.2010.640
SRR6905173	Texanus_24_25.2010.642
SRR6905166	Texanus_24_25.2010.644
SRR6905167	Texanus_24_25.2010.646
SRR6905168	Texanus_24_25.2010.648
SRR6976941	Texanus_24_25.2010.650
SRR6905169	Texanus_24_25.2010.652
SRR6905164	Texanus_24_25.2010.654
SRR6905165	Texanus_24_25.2010.656
SRR6904959	Texanus_24_25.2010.658
SRR6976946	Texanus_24_25.2010.660
SRR6904958	Texanus_24_25.2010.662
SRR6904961	Texanus_24_25.2010.664
SRR6904960	Texanus_24_25.2010.666
SRR6904963	Texanus_24_25.2010.668
SRR6976947	Texanus_24_25.2010.670
SRR6904962	Texanus_24_25.2010.672
SRR6904965	Texanus_24_25.2010.674
SRR6904964	Texanus_24_25.2010.676
SRR6904957	Texanus_24_25.2010.678
SRR6976944	Texanus_24_25.2010.680
SRR6904956	Texanus_24_25.2010.684
SRR6905295	Texanus_24_25.2010.686
SRR6905296	Texanus_24_25.2010.688
SRR6976945	Texanus_24_25.2010.690
SRR6905293	Texanus_24_25.2010.692
SRR6905294	Texanus_24_25.2010.694
SRR6905299	Texanus_24_25.2010.696
SRR6905300	Texanus_24_25.2011.002
SRR6905297	Texanus_24_25.2011.004
SRR6905298	Texanus_24_25.2011.006
SRR6905291	Texanus_24_25.2011.008
SRR6976938	Texanus_24_25.2011.010
SRR6905292	Texanus_24_25.2011.012
SRR6905311	Texanus_24_25.2011.014
SRR6905310	Texanus_24_25.2011.016
SRR6905309	Texanus_24_25.2011.018
SRR6976939	Texanus_24_25.2011.020
SRR6905308	Texanus_24_25.2011.022
SRR6905307	Texanus_24_25.2011.028
SRR6976912	Texanus_24_25.2011.030
SRR6905306	Texanus_24_25.2011.032
SRR6905305	Texanus_24_25.2011.034
SRR6905304	Texanus_24_25.2011.036
SRR6905303	Texanus_24_25.2011.038
SRR6976913	Texanus_24_25.2011.040
SRR6905302	Texanus_24_25.2011.042
SRR6905257	Texanus_24_25.2011.044
SRR6905258	Texanus_24_25.2011.046
SRR6905259	Texanus_24_25.2011.048
SRR6976910	Texanus_24_25.2011.050
SRR6905260	Texanus_24_25.2011.054
SRR6905261	Texanus_24_25.2011.056
SRR6905262	Texanus_24_25.2011.058
SRR6976911	Texanus_24_25.2011.060
SRR6905263	Texanus_24_25.2011.062
SRR6905264	Texanus_24_25.2011.064
SRR6905255	Texanus_24_25.2011.066
SRR6905256	Texanus_24_25.2011.068
SRR6976916	Texanus_24_25.2011.070
SRR6905064	Texanus_24_25.2011.072
SRR6905207	Texanus_24_25.2011.074
SRR6905066	Texanus_24_25.2011.076
SRR6905065	Texanus_24_25.2011.078
SRR6976917	Texanus_24_25.2011.080
SRR6905060	Texanus_24_25.2011.084
SRR6905059	Texanus_24_25.2011.088
SRR6976914	Texanus_24_25.2011.090
SRR6905062	Texanus_24_25.2011.092
SRR6905061	Texanus_24_25.2011.094
SRR6905069	Texanus_24_25.2011.096
SRR6905068	Texanus_24_25.2011.201
SRR6905025	Texanus_26_27.2011.202
SRR6905026	Texanus_26_27.2011.205
SRR6905023	Texanus_26_27.2011.209
SRR6905024	Texanus_26_27.2011.211
SRR6905021	Texanus_26_27.2011.212
SRR6905022	Texanus_26_27.2011.213
SRR6905020	Texanus_26_27.2011.214
SRR6905029	Texanus_26_27.2011.215
SRR6905027	Texanus_26_27.2011.217
SRR6905028	Texanus_26_27.2011.218
SRR6905143	Texanus_26_27.2011.219
SRR6903729	Texanus_26_27.2011.303
SRR6903502	Texanus_26_27.2011.307
SRR6903507	Texanus_26_27.2011.310
SRR6974442	Texanus_26_27.2011.310
SRR6903807	Texanus_26_27.2011.316
SRR6903497	Texanus_26_27.2011.320
SRR6974447	Texanus_26_27.2011.320
SRR6905223	Texanus_26_27.2011.406
SRR6976915	Texanus_26_27.2011.410
SRR6905141	Texanus_26_27.2011.414
SRR6905140	Texanus_26_27.2011.418
SRR6905147	Texanus_26_27.2011.422
SRR6905146	Texanus_26_27.2011.426
SRR6976908	Texanus_26_27.2011.430
SRR6905145	Texanus_26_27.2011.434
SRR6905144	Texanus_26_27.2011.438
SRR6905138	Texanus_26_27.2011.442
SRR6905137	Texanus_26_27.2011.446
SRR6976909	Texanus_26_27.2011.450
SRR6905112	Texanus_26_27.2011.454
SRR6905113	Texanus_26_27.2011.458
SRR6905114	Texanus_26_27.2011.462
SRR6905115	Texanus_26_27.2011.466
SRR6976891	Texanus_26_27.2011.470
SRR6905108	Texanus_26_27.2011.474
SRR6905109	Texanus_26_27.2011.478
SRR6905110	Texanus_26_27.2011.482
SRR6905111	Texanus_26_27.2011.486
SRR6976890	Texanus_26_27.2011.490
SRR6905116	Texanus_26_27.2011.494
SRR6904943	Texanus_26_27.2011.498
SRR6905356	Texanus_26_27.2012.002
SRR6905355	Texanus_26_27.2012.004
SRR6905354	Texanus_26_27.2012.006
SRR6905353	Texanus_26_27.2012.008
SRR6976889	Texanus_26_27.2012.010
SRR6905360	Texanus_26_27.2012.012
SRR6905359	Texanus_26_27.2012.014
SRR6905358	Texanus_26_27.2012.016
SRR6905357	Texanus_26_27.2012.018
SRR6976888	Texanus_26_27.2012.020
SRR6905351	Texanus_26_27.2012.022
SRR6905350	Texanus_26_27.2012.024
SRR6905010	Texanus_26_27.2012.026
SRR6905011	Texanus_26_27.2012.028
SRR6976895	Texanus_26_27.2012.030
SRR6905012	Texanus_26_27.2012.032
SRR6905013	Texanus_26_27.2012.034
SRR6905006	Texanus_26_27.2012.036
SRR6905007	Texanus_26_27.2012.038
SRR6976894	Texanus_26_27.2012.040
SRR6905008	Texanus_26_27.2012.042
SRR6905009	Texanus_26_27.2012.044
SRR6905004	Texanus_26_27.2012.046
SRR6905005	Texanus_26_27.2012.048
SRR6976893	Texanus_26_27.2012.050
SRR6905099	Texanus_26_27.2012.054
